"X" "Z" "Y"
2.38227456621826 -4.97617725433782 0
2.02852075919509 -4.97971479240805 0
-0.869954526424408 -5.00869954526424 0
-1.26754641346633 -5.01267546413466 0
-1.10964709892869 -5.01109647098929 0
-2.41324212402105 -5.02413242124021 0
0.278863698244095 -4.99721136301756 0
-3.22779006883502 -5.03227790068835 0
3.9027755446732 -4.96097224455327 0
-2.65944419242442 -5.02659444192424 0
2.38391303829849 -4.97616086961701 1
0.750352183356881 -4.99249647816643 0
3.24248007684946 -4.96757519923151 0
3.04678918607533 -4.96953210813925 0
3.95069240964949 -4.96049307590351 0
3.16765068098903 -4.96832349319011 0
3.02914681099355 -4.96970853189006 0
-2.41915400512516 -5.02419154005125 0
-1.32005119882524 -5.01320051198825 0
2.21765053644776 -4.97782349463552 0
-2.72325155884027 -5.0272325155884 0
-3.35483799502254 -5.03354837995023 0
-2.93879729323089 -5.02938797293231 0
-2.62475681491196 -5.02624756814912 0
-0.177777310833335 -5.00177777310833 0
1.60403818264604 -4.98395961817354 0
3.03911249898374 -4.96960887501016 0
3.02234945073724 -4.96977650549263 0
2.83103675581515 -4.97168963244185 0
-2.67209987342358 -5.02672099873424 0
0.183750027790666 -4.99816249972209 0
2.95302560739219 -4.97046974392608 0
-2.15074649453163 -5.02150746494532 0
-3.04735274612904 -5.03047352746129 0
2.59160981141031 -4.9740839018859 0
-3.35778416320682 -5.03357784163207 0
3.61890454404056 -4.96381095455959 0
2.97293888963759 -4.97027061110362 0
1.69723058491945 -4.98302769415081 0
0.843236090615392 -4.99156763909385 0
-2.19654252566397 -5.02196542525664 0
1.91676108725369 -4.98083238912746 0
3.16433957777917 -4.96835660422221 0
-1.64429407566786 -5.01644294075668 0
0.122820137068629 -4.99877179862931 0
-0.522803599014878 -5.00522803599015 0
0.601320993155241 -4.99398679006845 0
1.92764815501869 -4.98072351844981 0
1.42538107559085 -4.98574618924409 0
-1.10387050919235 -5.01103870509192 0
-1.32354034110904 -5.01323540341109 0
1.99084799364209 -4.98009152006358 0
0.0529324170202017 -4.9994706758298 0
2.89807321503758 -4.97101926784962 0
2.07645805180073 -4.97923541948199 0
3.71506603620946 -4.96284933963791 0
2.67549789883196 -4.97324502101168 0
2.69629545509815 -4.97303704544902 0
-1.86026327870786 -5.01860263278708 0
-2.5925400480628 -5.02592540048063 0
-2.43171459063888 -5.02431714590639 0
-3.84335848875344 -5.03843358488753 0
0.221819182857871 -4.99778180817142 0
-2.54696343280375 -5.02546963432804 0
-2.81812202371657 -5.02818122023717 0
0.727792140096426 -4.99272207859904 0
-3.976079441607 -5.03976079441607 0
-1.11187120527029 -5.0111187120527 0
-2.96585840731859 -5.02965858407319 0
-3.8833676148206 -5.03883367614821 0
-2.44455596618354 -5.02444555966184 0
1.18936548382044 -4.9881063451618 0
3.52503030002117 -4.96474969699979 0
-1.22915111482143 -5.01229151114821 0
2.75974518619478 -4.97240254813805 0
-2.9649317022413 -5.02964931702241 0
2.81404815614223 -4.97185951843858 0
-2.25258265994489 -5.02252582659945 0
-2.9421491548419 -5.02942149154842 0
0.971637750044465 -4.99028362249956 0
-2.86386984586716 -5.02863869845867 0
-3.98950834572315 -5.03989508345723 0
2.66746477596462 -4.97332535224035 0
3.56395458243787 -4.96436045417562 0
0.543207326903939 -4.99456792673096 0
-0.786449795588851 -5.00786449795589 0
-2.51952361688018 -5.0251952361688 0
0.380326006561518 -4.99619673993439 0
0.503084512427449 -4.99496915487573 0
-2.71226429194212 -5.02712264291942 0
-1.53718495182693 -5.01537184951827 0
-1.12375640869141 -5.01123756408691 0
-2.66366836242378 -5.02663668362424 0
-2.45259255357087 -5.02452592553571 0
-0.362205766141415 -5.00362205766141 0
-3.68433853797615 -5.03684338537976 0
2.88999516703188 -4.97110004832968 0
2.14527556672692 -4.97854724433273 0
-3.09741175733507 -5.03097411757335 0
-0.832716781646013 -5.00832716781646 0
-3.69157048501074 -5.03691570485011 0
1.27558016031981 -4.9872441983968 0
-1.50825178995728 -5.01508251789957 0
-2.48344681411982 -5.0248344681412 0
1.00857051089406 -4.98991429489106 0
0.133747681975365 -4.99866252318025 0
3.42356582917273 -4.96576434170827 0
-3.53298094682395 -5.03532980946824 0
3.50306436792016 -4.9649693563208 0
0.954678392037749 -4.99045321607962 0
-1.0632740445435 -5.01063274044543 0
-3.53508504480124 -5.03535085044801 0
-2.8748806566 -5.028748806566 0
-0.789138050749898 -5.0078913805075 0
-3.45590734668076 -5.03455907346681 0
-1.42738143354654 -5.01427381433547 0
-0.798144126310945 -5.00798144126311 0
-2.43638243898749 -5.02436382438987 0
-0.388158498331904 -5.00388158498332 0
3.71783561818302 -4.96282164381817 0
-1.93460346199572 -5.01934603461996 0
-2.32115317508578 -5.02321153175086 0
0.983107529580593 -4.99016892470419 0
3.76111271046102 -4.96238887289539 0
0.390971576794982 -4.99609028423205 0
-0.264368059113622 -5.00264368059114 0
-2.38927088677883 -5.02389270886779 0
-3.79588586837053 -5.03795885868371 0
1.80709921754897 -4.98192900782451 0
-1.74039275571704 -5.01740392755717 0
-0.77706878259778 -5.00777068782598 0
0.769099600613117 -4.99230900399387 0
-0.586031680926681 -5.00586031680927 0
0.896889725700021 -4.991031102743 0
0.0738990996032953 -4.99926100900397 0
-0.577537443488836 -5.00577537443489 0
-1.48830592818558 -5.01488305928186 0
3.11915799602866 -4.96880842003971 0
-2.15771451964974 -5.0215771451965 0
-3.51662008464336 -5.03516620084643 0
3.22902817092836 -4.96770971829072 0
1.2937565818429 -4.98706243418157 0
1.71034286171198 -4.98289657138288 0
2.43726256676018 -4.9756273743324 0
-3.7157290186733 -5.03715729018673 0
-0.22895185276866 -5.00228951852769 0
1.35543749108911 -4.98644562508911 0
2.12846180982888 -4.97871538190171 0
-3.40176182985306 -5.03401761829853 0
0.145505778491497 -4.99854494221509 0
2.63729340024292 -4.97362706599757 0
1.09356247074902 -4.98906437529251 0
-2.12123718485236 -5.02121237184852 0
2.06128318980336 -4.97938716810197 0
0.155558731406927 -4.99844441268593 0
-2.06397070549428 -5.02063970705494 0
-3.52829013392329 -5.03528290133923 0
1.91866996884346 -4.98081330031157 0
-3.91474189423025 -5.0391474189423 0
-2.32717368938029 -5.0232717368938 0
3.01248440518975 -4.9698751559481 0
-1.83343342132866 -5.01833433421329 0
-2.07610044069588 -5.02076100440696 0
2.07077093049884 -4.97929229069501 0
-3.53788569010794 -5.03537885690108 0
-0.392748927697539 -5.00392748927698 0
1.58314791694283 -4.98416852083057 0
3.14655085280538 -4.96853449147195 0
-2.85237059928477 -5.02852370599285 0
-3.15775841474533 -5.03157758414745 0
0.150120452046394 -4.99849879547954 0
-2.91536156274378 -5.02915361562744 0
2.41435374692082 -4.97585646253079 0
2.41485892795026 -4.9758514107205 0
1.33900444209576 -4.98660995557904 0
3.67329229041934 -4.96326707709581 0
1.5955611076206 -4.98404438892379 0
-3.50811711139977 -5.035081171114 0
-0.801665730774403 -5.00801665730774 0
-1.69765468873084 -5.01697654688731 0
-1.52282608859241 -5.01522826088592 0
0.849017202854156 -4.99150982797146 0
3.16946848668158 -4.96830531513318 0
1.40520871058106 -4.98594791289419 0
1.71165105514228 -4.98288348944858 0
2.05839231424034 -4.9794160768576 0
-1.07853294163942 -5.01078532941639 0
-1.46849047020078 -5.01468490470201 0
2.12572510913014 -4.9787427489087 0
-1.146698275581 -5.01146698275581 0
2.44985089078546 -4.97550149109215 0
0.641924042254686 -4.99358075957745 0
1.1522243693471 -4.98847775630653 0
1.10493192262948 -4.9889506807737 0
3.54685742221773 -4.96453142577782 0
3.16961759701371 -4.96830382402986 0
0.192557502537966 -4.99807442497462 0
3.71522863954306 -4.96284771360457 0
0.409654472023249 -4.99590345527977 0
-1.252132371068 -5.01252132371068 0
-2.42045430466533 -5.02420454304665 0
-2.94822177290916 -5.02948221772909 0
